Year	Month	Day	Hour	Minute	Second	AUT.100057	AUT.100073	AUT.100206	AUT.100305	AUT.100362	AUT.100446	AUT.100529	AUT.100560	AUT.100719	AUT.100776	AUT.100842	AUT.100891	AUT.100909	AUT.100917	AUT.100933	AUT.100982	AUT.100990	AUT.101006	AUT.101014	AUT.101113	AUT.115329	AUT.115337	AUT.198012	AUT.198018	AUT.198030	FRA.7392	FRA.7393	FRA.7454	FRA.7457	FRA.7467	FRA.7470	FRA.7499	FRA.7721	FRA.7856	FRA.7858	FRA.7861	FRA.7873	FRA.7876	FRA.7887	FRA.7897	FRA.7908	GER.00275	GER.00931	GER.01227	GER.01346	GER.02405	GER.02953	GER.03519	GER.03714	GER.03857	GER.04712	GER.05169	GER.05229	GER.05688	GER.07322	GER.07382	ITA.ANT	ITA.BAC	ITA.FRB	ITA.FRF	ITA.MCM	ITA.MCP	ITA.MCR	ITA.MTC	ITA.VZA	MCH.ABE2	MCH.ABG2	MCH.AIG2	MCH.AIR2	MCH.ALM2	MCH.ALT2	MCH.ALV2	MCH.ANT2	MCH.APP2	MCH.APT2	MCH.ARI2	MCH.ARO2	MCH.AST2	MCH.BAM2	MCH.BAS2	MCH.BAT2	MCH.BAU2	MCH.BER2	MCH.BIO2	MCH.BLS2	MCH.BLU2	MCH.BMU2	MCH.BNE2	MCH.BOV2	MCH.BOZ2	MCH.BRA2	MCH.BRO2	MCH.BSG2	MCH.BUE2	MCH.BUF2	MCH.BUS2	MCH.CAC2	MCH.CAV2	MCH.CBS2	MCH.CDF2	MCH.CHA1	MCH.CHD2	MCH.CHM2	MCH.CHU2	MCH.CHY2	MCH.COP2	MCH.COU2	MCH.CUE2	MCH.DEH2	MCH.DEM2	MCH.DIB2	MCH.DIS2	MCH.DMA2	MCH.DOL1	MCH.ECH2	MCH.EFF2	MCH.EGL2	MCH.EHM2	MCH.EIN2	MCH.EIT2	MCH.ELM2	MCH.ENG1	MCH.EPT2	MCH.ERI2	MCH.EUT2	MCH.FIL2	MCH.FIT2	MCH.FLI2	MCH.FRA2	MCH.FRC2	MCH.FRE1	MCH.FRI2	MCH.GEA2	MCH.GIN2	MCH.GLA2	MCH.GOS2	MCH.GRA2	MCH.GRC2	MCH.GRE2	MCH.GRY2	MCH.GSS2	MCH.GTT2	MCH.GUE1	MCH.GVE2	MCH.GWA2	MCH.HAU2	MCH.HEB2	MCH.HEK2	MCH.HER2	MCH.HES2	MCH.HLL2	MCH.HOE1	MCH.HON2	MCH.HOY2	MCH.IST2	MCH.JAU2	MCH.KAS2	MCH.KLO2	MCH.KLT2	MCH.KOP2	MCH.KUA2	MCH.LAG2	MCH.LAN2	MCH.LAP2	MCH.LEU2	MCH.LFB2	MCH.LGA2	MCH.LOB2	MCH.LOT2	MCH.LTB2	MCH.LUG2	MCH.LUN2	MCH.LUT2	MCH.LUZ2	MCH.MAC2	MCH.MAD2	MCH.MAS2	MCH.MDO2	MCH.MER2	MCH.MES2	MCH.MGB2	MCH.MMO2	MCH.MOS2	MCH.MOW2	MCH.MSG2	MCH.MST2	MCH.MTO2	MCH.MUS2	MCH.NAP1	MCH.NEU2	MCH.OBD2	MCH.ORZ2	MCH.OTE2	MCH.OTL2	MCH.PDM2	MCH.PFA2	MCH.PIG2	MCH.PIO1	MCH.PLF1	MCH.PON2	MCH.RIH2	MCH.ROB2	MCH.SAB2	MCH.SAG2	MCH.SAR2	MCH.SBA2	MCH.SCA2	MCH.SCD2	MCH.SCE2	MCH.SCH2	MCH.SCU2	MCH.SEM2	MCH.SEV2	MCH.SGD2	MCH.SIA2	MCH.SIO2	MCH.SIS2	MCH.SKO2	MCH.SMA2	MCH.SNG2	MCH.SON2	MCH.SPZ2	MCH.SRE2	MCH.SRN2	MCH.STF2	MCH.STG2	MCH.STU2	MCH.SWZ2	MCH.SZB2	MCH.TAE1	MCH.TAM2	MCH.TDG2	MCH.TEU2	MCH.TFD2	MCH.TIC2	MCH.TRO2	MCH.TRU2	MCH.TST2	MCH.URB2	MCH.VEL2	MCH.VIS2	MCH.VVI2	MCH.WAN2	MCH.WCH2	MCH.WDO2	MCH.WEF2	MCH.WHA2	MCH.WID2	MCH.WIE2	MCH.WIS2	MCH.YVN2	MCH.ZOF2	MCH.ZUB2	SLF.1AD	SLF.1GA	SLF.1GB	SLF.1GD	SLF.1GH	SLF.1GS	SLF.1GT	SLF.1HB	SLF.1JA	SLF.1LB	SLF.1LC	SLF.1LS	SLF.1MI	SLF.1MR	SLF.1PL	SLF.1SH	SLF.1SM	SLF.1WE	SLF.2EN	SLF.2GA	SLF.2GU	SLF.2ME	SLF.2OG	SLF.2SO	SLF.2ST	SLF.2TR	SLF.2UR	SLF.3BR	SLF.3EL	SLF.3FB	SLF.3MB	SLF.3MG	SLF.3SW	SLF.3UI	SLF.4AO	SLF.4BN	SLF.4BP	SLF.4EG	SLF.4FY	SLF.4GR	SLF.4KU	SLF.4LA	SLF.4MO	SLF.4MS	SLF.4OW	SLF.4RU	SLF.4SF	SLF.4SH	SLF.4SM	SLF.4UL	SLF.4WI	SLF.4ZE	SLF.4ZW	SLF.5BE	SLF.5BI	SLF.5CU	SLF.5DF	SLF.5IG	SLF.5IN	SLF.5JU	SLF.5KK	SLF.5KU	SLF.5MA	SLF.5OB	SLF.5PL	SLF.5PU	SLF.5SA	SLF.5SE	SLF.5SI	SLF.5SP	SLF.5TH	SLF.5VA	SLF.5VZ	SLF.5WJ	SLF.5ZV	SLF.6BE	SLF.6BG	SLF.6CB	SLF.6PE	SLF.6RI	SLF.6RO	SLF.6SB	SLF.7BR	SLF.7CA	SLF.7CO	SLF.7FA	SLF.7LD	SLF.7MA	SLF.7MT	SLF.7MZ	SLF.7PV	SLF.7SD	SLF.7SN	SLF.7ST	SLF.7ZN	SLF.7ZU	SLF.ALI2	SLF.AMD2	SLF.ANV2	SLF.ANV3	SLF.ARO2	SLF.ARO3	SLF.ATT2	SLF.BED3	SLF.BEL2	SLF.BER2	SLF.BER3	SLF.BEV2	SLF.BOG2	SLF.BOV2	SLF.CAM2	SLF.CHA2	SLF.CMA2	SLF.CON2	SLF.DAV2	SLF.DAV3	SLF.DIA2	SLF.DTR2	SLF.EGH2	SLF.ELA2	SLF.ELM2	SLF.FAE2	SLF.FIR2	SLF.FIS2	SLF.FNH2	SLF.FRA2	SLF.FUL2	SLF.FUS2	SLF.GAD2	SLF.GLA2	SLF.GOM2	SLF.GOM3	SLF.GOR2	SLF.GRA2	SLF.HTR2	SLF.HTR3	SLF.JAU2	SLF.JUL2	SLF.KES2	SLF.KLO2	SLF.KLO3	SLF.LAG2	SLF.LAU2	SLF.LUK2	SLF.MAE2	SLF.MEI2	SLF.MES2	SLF.MLB2	SLF.MTR2	SLF.MUN2	SLF.MUO2	SLF.MUT2	SLF.NAR2	SLF.NAS2	SLF.OBM2	SLF.OBW2	SLF.OBW3	SLF.OFE2	SLF.ORT2	SLF.OTT2	SLF.PAR2	SLF.PLD2	SLF.PMA2	SLF.PUZ2	SLF.RNZ2	SLF.ROA2	SLF.ROT3	SLF.SAA4	SLF.SCA2	SLF.SCA3	SLF.SCB2	SLF.SEN2	SLF.SHE2	SLF.SIM2	SLF.SMN2	SLF.SPN3	SLF.TAM2	SLF.TAM3	SLF.TIT2	SLF.TRU2	SLF.TUJ2	SLF.TUM2	SLF.VAL2	SLF.VDS2	SLF.VIN2	SLF.VLS2	SLF.VST2	SLF.YBR2	SLF.ZER2	SLF.ZER4	SLF.ZNZ2
2020	9	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-999	0	0	0	0	-999	0	-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	9	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	-999	0	0	0	0	-999	0	-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82488264	1.8242803	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11389071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	9	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	-999	0	0	0	0	-999	0	-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5636846	4.7535114	0	2	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54447004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	9	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-999	0	0	0	0	-999	0	-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5811762	3.2062627	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38724637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	9	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-999	0	0	0	0	-999	0	-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2763122	3.6485606	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5541723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	9	7	6	0	0	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	-999	0	0	0	0	-999	0	-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7974568	2.5986986	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36069907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	9	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	-999	0	0	0	0	-999	0	-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.634485	2.5436098	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32525954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012337977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	9	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-999	0	0	0	0	-999	0	-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4640815	2.9859077	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33970292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024675954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	9	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.2	0	0	0	0	-999	0	0	0	0	-999	0	-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56451914	0	0	0	0	0	0	0	4.9783466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037013931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	9	11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-999	0	0	0	0	-999	0	-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3644785	1.3835702	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15512193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049351908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	9	12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-999	0	0	0	0	-999	0	-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3982102	3.3180281	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53527487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061689885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
